Common Name,Alternative Names,Right Ascension,Declination,Magnitude
Sirius,"['Sirius', 'α-CMa', 'Alpha Canis Majoris', '9-CMa', '9 Canis Majoris', 'HR 2491', 'HD 48915', 'HIP 32349']",06h45m09s,"-16°42'47""",-1.44
Canopus,"['Canopus', 'α-Car', 'Alpha Carinae', 'HR 2326', 'HD 45348', 'HIP 30438', 'TYC 8534-2277-1']",06h23m57s,"-52°41'44""",-0.63
Vega,"['Vega', 'α-Lyr', 'Alpha Lyrae', '3-Lyr', '3 Lyrae', 'HR 7001', 'HD 172167', 'HIP 91262']",18h36m56s,"+38°46'58""",0.03
Capella,"['Capella', 'α-Aur', 'Alpha Aurigae', '13-Aur', '13 Aurigae', 'HR 1708', 'HD 34029', 'NSV 1897', 'HIP 24608']",05h16m41s,"+45°59'56""",0.08
Arcturus,"['Arcturus', 'α-Boo', 'Alpha Bootis', '16-Boo', '16 Bootis', 'HR 5340', 'HD 124897', 'NSV 6603', 'HIP 69673', 'TYC 1472-1436-1']",14h15m40s,"+19°11'14""",0.16
Rigel,"['Rigel', 'β-Ori', 'Beta Orionis', '19-Ori', '19 Orionis', 'HR 1713', 'HD 34085', 'NSV 1882', 'HIP 24436', 'TYC 5331-1752-1']",05h14m32s,"-08°12'05""",0.28
Procyon,"['Procyon', 'α-CMi', 'Alpha Canis Minoris', '10-CMi', '10 Canis Minoris', 'HR 2943', 'HD 61421', 'NSV 3672', 'HIP 37279']",07h39m18s,"+05°13'39""",0.40
Achernar,"['Achernar', 'α-Eri', 'Alpha Eridani', 'HR 472', 'HD 10144', 'HIP 7588', 'TYC 8478-1395-1']",01h37m42s,"-57°14'11""",0.54
Betelgeuse,"['Betelgeuse', 'α-Ori', 'Alpha Orionis', '58-Ori', '58 Orionis', 'HR 2061', 'HD 39801', 'HIP 27989', 'TYC 129-1873-1']",05h55m10s,"+07°24'25""",0.57
Hadar,"['Hadar', 'β-Cen', 'Beta Centauri', 'HR 5267', 'HD 122451', 'HIP 68702', 'TYC 9005-3919-1']",14h03m49s,"-60°22'22""",0.64
Altair,"['Altair', 'α-Aql', 'Alpha Aquilae', '53-Aql', '53 Aquilae', 'HR 7557', 'HD 187642', 'HIP 97649', 'TYC 1058-3399-1']",19h50m46s,"+08°52'02""",0.93
Aldebaran,"['Aldebaran', 'α-Tau', 'Alpha Tauri', '87-Tau', '87 Tauri', 'HR 1457', 'HD 29139', 'HIP 21421', 'TYC 1266-1416-1']",04h35m55s,"+16°30'35""",0.99
Spica,"['Spica', 'α-Vir', 'Alpha Virginis', '67-Vir', '67 Virginis', 'HR 5056', 'HD 116658', 'HIP 65474', 'TYC 5547-1518-1']",13h25m11s,"-11°09'40""",1.06
Antares,"['Antares', 'α-Sco', 'Alpha Scorpii', '21-Sco', '21 Scorpii', 'HR 6134', 'HD 148478', 'HIP 80763', 'TYC 6803-2158-1']",16h29m24s,"-26°25'55""",1.07
